   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    7.199996      0.000000      0.000001      0.000000      0.333333      0.000000      0.000001      0.493505      0.710323      0.320013           NaN      Infinity      0.000000      0.000000
    7.299995      0.000000      0.000001      0.000000      0.500000      0.000001      0.000001      0.314446      0.634906      0.157971      6.200000      1.937500      0.000007      0.000000
    7.399995      0.000000      0.000000      0.000000      0.250000      0.000001      0.000001      0.102264      0.517901      0.171408      Infinity      0.000000      0.000000      0.000000
    7.499995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.749281      0.749281           NaN      0.000000      0.000000      0.000000
    7.599995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.780808      0.780808           NaN      0.000000      0.000000      0.000000
    7.699995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.749391      0.749391      0.000000      0.000000      0.000000      0.000000
    7.799995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.749391      0.749391           NaN      0.000000      0.000000      0.000000
    7.899995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.871660      0.871660           NaN      0.000000      0.000000      0.000000
    7.999995      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.796805      0.796805      0.000000      0.000000      0.000000      0.000000
  100.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
 * The above water reflectance is actually an albedo calculation
